"ID","OWC","all_freq_30_IA","sevnonfd_freq_30_IA","fd_freq_30_IA","all_freqdr_30_IA","all_freqsevdr_30_IA","all_freqLAPD_30_IA","all_freqfl_30_IA","fd_hazards_freq_PC"
"1","FX13",7,0,3,3,3,7,0,0.955747237677474
"2","FX10",7,0,5,5,5,0,0,0.896500243228005
"4","FQ09",7,0,0,0,0,0,4,-1.09761872695298
"5","FP13",6,5,4,5,4,NA,NA,NA
"7","FQ05",7,7,0,0,0,2,0,-0.886357431044989
"8","FN17",7,0,0,2,0,2,7,-0.886357431044989
"12","FK07",7,0,2,2,2,0,0,-0.599088984407735
"13","FO04",6,0,5,0,0,3,5,0.237993007881636
"16","FF57",5,0,4,5,0,0,0,-0.412801869689007
"19","FE12",4,4,0,0,0,0,4,-1.09761872695298
"21","MS30",7,0,4,3,3,3,0,0.550235635708155
"22","FA08",7,NA,2,2,2,NA,NA,NA
"23","FE11",5,0,5,4,4,4,0,1.26002667416139
"24","MS20",7,0,0,0,0,0,0,-1.09761872695298
"25","MS11",7,4,5,4,3,4,3,0.989769217370806
"26","MS12",7,0,5,5,5,4,0,1.53028413095198
"27","FI21",7,0,4,3,3,3,7,0.550235635708155
"28","FO07",7,NA,4,NA,NA,4,NA,NA
"29","MQ08",6,NA,2,NA,NA,6,NA,NA
"30","FJ21",7,0,5,4,4,4,0,1.26002667416139
"32","MP19",2,2,0,0,0,2,0,-0.886357431044989
"34","FL12",4,0,4,0,0,4,0,0.22098201803497
"35","MP17",7,0,5,5,5,7,5,1.95280672276797
"36","MO04",5,0,5,4,4,4,0,1.26002667416139
"37","MP05",7,3,0,7,0,0,7,-1.09761872695298
"40","MS22",5,0,5,4,4,4,0,1.26002667416139
"42","MX03",3,3,NA,NA,NA,NA,NA,NA
"43","MR13",7,3,4,NA,NA,4,7,NA
"46","MD04",4,0,4,3,3,3,0,0.550235635708155
"47","MB01",5,4,4,3,3,0,0,0.12771304389217
"51","ER06",7,NA,3,NA,NA,3,NA,NA
"52","EP04",7,3,3,NA,NA,4,3,NA
"53","RU41",7,5,3,0,0,7,0,0.415232324096297
"54","RF10",7,3,0,0,0,0,7,-1.09761872695298
"55","RI03",3,NA,3,3,3,NA,NA,NA
"58","MA10",7,0,4,3,0,4,7,0.22098201803497
"59","AT03",5,3,5,0,0,0,5,-0.184529583934349
"60","AW32",7,NA,3,3,3,7,NA,0.955747237677474
"62","AW42",5,0,5,5,5,0,0,0.896500243228005
"63","AW19",5,NA,5,5,5,NA,NA,NA
"64","AV07",7,0,7,0,0,0,0,0.272014987574967
"65","RQ02",4,NA,4,3,3,NA,NA,NA
"66","AH01",7,NA,3,NA,NA,7,NA,NA
"69","AR05",5,NA,NA,NA,NA,NA,NA,NA
"70","AR20",7,0,3,0,0,3,0,-0.21855156362768
"72","AM28",7,0,0,7,0,0,0,-1.09761872695298
"73","AM11",7,3,7,5,5,5,5,2.19808999836929
"76","AO07",7,5,4,6,3,5,3,0.97275822752414
"79","AZ02",4,0,4,0,0,0,0,-0.412801869689007
