SCCS_ID,socname,KT_3,KT_4,KT_5,KT_3_Tr,KT_4_Tr,KT_5_Tr,BT,Unilineal,Unilineal_Type,code_68,code_label_68,code_80,code_label_80,,,,,,,,,,,
1,Nama Hottentot,7,7,6,7,7,6,,1,3,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
100,Tikopia,7,6,6,7,6,6,,1,3,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
102,Mbau Fijians,3,3,3,3,3,3,3,,,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
104,Maori,3,3,3,3,3,3,3,,,9,>20% polygyny,4,Small extended,,,,,,,,,,,
106,Western Samoans,2,2,2,3,3,3,2,,,11,"Large extended, <20% polygyny",5,Large extended,,,,,,,,,,,
108,Marshallese,6,6,6,6,6,6,,1,1,11,"Large extended, <20% polygyny",5,Large extended,,,,,,,,,,,
109,Trukese,7,7,7,7,7,7,,1,1,11,"Large extended, <20% polygyny",5,Large extended,,,,,,,,,,,
110,Yapese,2,2,2,3,3,3,2,,,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
112,Ifugao,1,1,1,3,3,3,1,,,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
116,Koreans,,,,,,,,1,3,5,"S Stem family, monogamy",3,Stem Family,,,,,,,,,,,
117,Japanese,,,,,,,,,,5,"S Stem family, monogamy",3,Stem Family,,,,,,,,,,,
118,Ainu,2,2,2,3,3,3,2,,,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
119,Gilyak,4,4,4,4,4,4,,1,3,6,"Stem family, < 20 % polygyny",3,Stem Family,,,,,,,,,,,
12,Ganda,7,7,7,7,7,7,,1,3,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
121,Chukchee,2,2,2,3,3,3,2,,,9,>20% polygyny,4,Small extended,,,,,,,,,,,
124,Copper Eskimo,1,1,1,3,3,3,1,,,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
13,Mbuti,2,2,2,3,3,3,2,,,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
130,Eyak,5,4,5,5,4,5,,1,1,9,>20% polygyny,4,Small extended,,,,,,,,,,,
131,Haida,7,7,7,7,7,7,,1,1,11,"Large extended, <20% polygyny",5,Large extended,,,,,,,,,,,
132,Bellacoola,2,2,2,3,3,3,2,,,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
138,Klamath,2,2,2,3,3,3,2,,,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
141,Hidatsa,5,4,5,5,4,5,,1,1,12,"Large extended, >20% polygyny",5,Large extended,,,,,,,,,,,
142,Pawnee,3,3,3,3,3,3,3,,,12,"Large extended, >20% polygyny",5,Large extended,,,,,,,,,,,
144,Huron,6,7,7,6,7,7,,1,1,10,"Large extended, monogamy",5,Large extended,,,,,,,,,,,
150,Havasupai,3,3,3,3,3,3,3,,,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
151,Papago,,,,,,,,,,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
154,Popoluca,3,3,3,3,3,3,3,,,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
156,Miskito,2,2,2,3,3,3,2,,,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
159,Goajiro,4,4,4,4,4,4,,1,1,9,>20% polygyny,4,Small extended,,,,,,,,,,,
160,Haitians,1,1,1,3,3,3,1,,,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
162,Warrau,,,,,,,,,,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
164,Carib (Barama),1,1,1,3,3,3,1,,,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
165,Saramacca,,,,,,,,1,1,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
168,Cayapa,2,2,2,3,3,3,2,,,7,"Small extended, monogamy",4,Small extended,,,,,,,,,,,
172,Aymara,3,3,3,3,3,3,3,,,10,"Large extended, monogamy",5,Large extended,,,,,,,,,,,
