OWC,ID,eHRAF.Name,NAME,ea033,hier_beyond_com,intensity_agricult,class_strat,community_size,
FX13,1,Khoi,nama Hottentot,2,2,1,2,3,
FX10,2,San,Kung Bushmen,1,1,1,1,1,
FT06,3,Tsonga,Thonga,3,3,3,4,NA,
FQ09,4,Lozi,Lozi,4,4,5,4,2,
FP13,5,Ovimbundu,Mbundu,3,3,3,4,4,
FO46,6,NA,Suku,4,4,3,4,2,
FQ05,7,Bemba,Bemba,3,3,3,4,3,
FN17,8,NA,Nyakyusa,3,3,5,1,3,
FN11,9,NA,Hadza,1,1,1,1,1,
FN32,10,NA,Luguru,1,1,3,1,4,
FL10,11,NA,Kikuyu,1,1,5,2,3,
FK07,12,NA,Ganda,4,4,5,4,7,
FO04,13,Mbuti,Mbuti,1,1,1,1,3,
FO32,14,NA,Nkundo Mongo,3,3,3,1,3,
FH26,15,NA,Banen,1,1,3,1,4,
FF57,16,Tiv,Tiv,2,2,3,1,4,
FF26,17,Igbo,Ibo,2,2,3,1,6,
FA18,18,NA,Fon,4,4,3,4,7,
FE12,19,Akan,Ashanti,3,3,3,4,7,
FC07,20,NA,Mende,2,2,3,4,3,
MS30,21,Wolof,Wolof,3,3,3,5,8,
FA08,22,NA,Bambara,2,2,5,4,7,
FE11,23,NA,Tallensi,1,1,5,2,5,
MS20,24,NA,Songhai,4,4,5,5,7,
MS11,25,NA,Pastoral Fulani,2,2,2,1,3,Wodaabe Fulani is the focus
MS12,26,Hausa,Hausa,4,4,6,5,8,
FI21,27,NA,Massa (Masa),1,1,6,1,4,
FO07,28,Azande,Azande,3,3,3,4,3,
MQ08,29,NA,Fur (Darfur),4,4,5,4,3,
FJ21,30,NA,Otoro Nuba,2,2,5,2,5,
FJ23,31,NA,Shilluk,2,2,3,5,5,
MP19,32,NA,Mao,2,2,3,1,2,
MP14,33,NA,Kaffa (Kafa),5,5,5,4,1,
FL12,34,Maasai,Masai,2,2,1,1,4,
MP17,35,NA,Konso,1,1,5,2,6,
MO04,36,Somali,Somali,3,3,5,2,1,
MP05,37,NA,Amhara,4,4,5,5,8,
MN06,38,NA,Bogo,NA,NA,NA,NA,NA,
MR08,39,NA,Kenuzi Nubians,NA,NA,NA,NA,NA,
MS22,40,NA,Teda,2,2,6,4,2,
MS25,41,NA,Tuareg,3,3,5,3,1,
MX03,42,Shulh,Riffians,2,2,5,2,7,
MR13,43,NA,Egyptians,4,,6,5,8,
MF07,44,NA,Hebrews,3,3,5,4,7,
MH07,45,NA,Babylonians,4,4,6,5,8,
MD04,46,NA,Rwala Bedouin,2,2,1,2,2,
MB01,47,NA,Turks,4,4,5,5,8,
EG01,48,NA,Gheg Albanians,3,3,5,1,3,
EI09,49,NA,Romans,5,5,5,5,8,
EX08,50,NA,Basques,4,4,5,5,6,
ER06,51,NA,Irish,3,3,5,5,8,
EP04,52,NA,Lapps,1,1,1,2,1,
RU41,53,NA,Yurak Samoyed,1,1,1,2,1,
RF10,54,NA,Russians,5,5,6,5,8,
RI03,55,NA,Abkhaz,2,2,5,5,4,
RJ01,56,NA,Armenians,4,4,5,2,5,
MA11,57,Kurds,Kurd,3,3,6,4,6,
MA10,58,NA,Basseri,2,2,2,2,5,
AT03,59,NA,Punjabi (West),5,5,5,4,4,
AW32,60,NA,Gond,NA,NA,3,1,NA,
AW60,61,NA,Toda,2,2,1,1,1,
AW42,62,Santal,Santal,2,2,6,1,3,
AW19,63,NA,Uttar Pradesh,5,5,6,4,8,
AV07,64,NA,Burusho,2,2,6,5,4,
RQ02,65,NA,Kazak,4,4,2,4,2,
AH01,66,Mongol,Khalka Mongols,4,4,2,4,1,
AE04,67,NA,Lolo,1,1,5,4,3,
AK05,68,Lepcha,Lepcha,2,2,5,2,3,
AR05,69,Garo,Garo,2,2,3,2,4,
AR20,70,NA,Lakher,2,2,3,4,NA,
AP04,71,NA,Burmese,4,4,6,5,8,
AM28,72,NA,Lamet,1,1,3,2,3,
AM11,73,NA,Vietnamese,5,5,6,5,8,
AM35,74,NA,Rhade,NA,NA,NA,NA,NA,
AM04,75,NA,Khmer,4,4,6,5,7,
AO07,76,Central Thai,Siamese,5,5,6,2,6,
AN07,77,NA,Semang,1,1,1,1,1,
AZ07,78,NA,Nicobarese,1,1,4,1,4,
AZ02,79,Andamans,Andamanese,1,1,1,1,1,
AX05,80,NA,Vedda,1,1,1,1,1,
FY08,81,NA,Tanala,2,2,6,4,4,
AN05,82,NA,Negri Sembilan,4,4,6,1,6,
OE05,83,NA,Javanese,5,5,6,5,7,
OF07,84,NA,Balinese,4,4,6,5,5,
OC06,85,Iban,Iban,1,1,3,1,2,
OA08,86,NA,Badjau,1,1,4,2,4,
