"ID","OWC","DQ","allhazards_H9a_sev_exposure_30","disaster_h9a_sev_exposure_30","allhazards_H9a_sev_exposure_30_IA","disaster_h9a_sev_exposure_30_IA","normative_est_count_30","normative_est_count_30_IA","allhazards_est_count_30_IA","eHRAF.Name","ea033","LS1_Resolved","LS2_Res_IA_2","LS3_Res_IA_2","LS4_Res_IA_2","LS5_Res_IA_2","LS2LS3Sum_IA_2","LS2LS3LS4Sum_IA_2","S1_Resolved","S2_Resolved_IA_TR","S3_Resolved_IA_TR","S4_Resolved_IA_TR","SumS2S3_corrected","S5_Resolved","S6_Resolved","S2bRes_outside","S3bRes_outside","S4bRes_outside","S5bRes_outside","S6bRes_outside","S2cRes_nonkin","S3cRes_nonkin","S4cRes_nonkin","S5cRes_nonkin","S6cRes_nonkin","LS2d_outside_Res","LS3d_outside_Res","LS4d_outside_Res","LS5d_outside_Res","LS2e_nonkin_Res","LS3e_nonkin_Res","LS4e_nonkin_Res","LS5e_nonkin_Res","all_freq_30_IA","sevnonfd_freq_30_IA","fd_freq_30_IA","all_freqdr_30_IA","all_freqsevdr_30_IA","all_freqLAPD_30_IA","all_freqfl_30_IA","sevnonfd_freq_30","fd_hazards_freq_PC","disaster_nonfd_sev_exposure_30","disaster_nonfd_sev_exposure_30_IA"
1,"FX13",2,6.5,1,6.5,1,20,20,23,"Khoi",2,1,0,1,NA,NA,1,NA,1,NA,NA,0,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,1,0,0,NA,NA,0,0,NA,NA,7,1,3,3,3,7,1,NA,0.959753178658848,1,1
2,"FX10",1,19,14,19,14,20,20,29,"San",1,1,1,1,0,0,2,2,1,1,1,0,2,1,1,0,1,NA,1,1,0,0,NA,1,1,0,0,0,0,1,1,0,NA,7,1,5,5,5,1,1,NA,0.896273906334527,8,8
4,"FQ09",1,6,1,6,1,20,20,22,"Lozi",4,1,1,1,1,1,2,3,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,NA,7,1,1,1,1,1,4,NA,-1.08731014306093,0.5,0.5
5,"FP13",3,4,4,4,4,NA,NA,6,"Ovimbundu",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,5,4,NA,NA,5,NA,8,8
7,"FQ05",2,5.5,NA,5.5,0,20,20,20,"Bemba",3,1,1,1,1,1,2,3,1,1,1,0,2,1,1,1,1,NA,1,1,0,1,NA,1,1,0,0,0,0,0,1,1,1,7,1,1,1,1,2,1,NA,-0.876255883656517,NA,0
8,"FN17",2,1,1,1,1,20,20,20,NA,3,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,NA,NA,0,1,1,NA,NA,1,1,0,NA,NA,NA,1,NA,NA,0,7,1,1,2,1,2,7,NA,-0.876255883656517,0,0
12,"FK07",1,11,6,11,6,20,20,40,NA,4,1,0,1,0,1,1,1,1,0,1,0,1,1,NA,NA,0,NA,NA,NA,NA,1,NA,0,NA,0,0,NA,0,0,1,NA,0,7,1,2,2,2,1,1,NA,-0.591414130712064,10,10
13,"FO04",2,7,6,7,6,4,4,11,"Mbuti",1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,0,1,NA,NA,1,6,1,5,1,1,3,5,NA,0.24022998445186,3,3
16,"FF57",2,1.5,NA,1.5,0,4,4,6,"Tiv",2,1,0,1,1,1,1,2,1,1,1,1,2,1,1,0,1,NA,1,NA,1,1,1,1,1,NA,1,0,1,NA,1,1,1,5,1,1,5,1,1,1,NA,-1.08731014306093,NA,0
19,"FE12",2,0,0,0,0,NA,0,3,"Akan",3,1,0,NA,NA,NA,NA,NA,1,1,0,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,1,1,4,4,-1.08731014306093,4,4
